,Age,M,F
0,0-4,44045189,37780063
1,5-9,45780804,40162400
2,10-14,48687706,43345439
3,15-19,63727201,58865072
4,20-24,59392096,55946721
5,25-29,48832563,46246257
6,30-34,57848795,54839387
7,35-39,65887232,63434017
8,40-44,58372028,56193301
9,45-49,45612728,43574572
10,50-54,44017818,42351834
11,55-59,35583816,34646241
12,60-64,23966061,23040580
13,65-69,19346691,18477376
14,70-74,14899363,15358630
15,75-79,9057039,10522298
16,80-84,4286161,5860225
17,85-89,1663040,2733872
18,90-94,459858,900762
19,95-99,64065,167114
20,100+,3224,14251
